0	0	Load	<cunk>	2.646839141845703	2.646839141845703
0	1	in	in	5.299474716186523	5.2994747
0	2	a	a	4.064217567443848	4.0642176
0	3	database	<unk>	0.9805660247802734	0.980566
0	4	of	of	2.8593931198120117	2.8593931
0	5	sentences	<unks>	3.8617095947265625	3.8617096
0	6	.	.	3.6028823852539062	3.6028824
1	0	Pull	<cunk>	2.646839141845703	2.646839141845703
1	1	sentences	<unks>	4.031234264373779	4.0312343
1	2	from	from	3.810499668121338	3.8104997
1	3	Penn	<cunk>	3.017650604248047	3.0176506
1	4	Treebank	<cunk>	2.0584239959716797	2.058424
1	5	.	.	3.3171539306640625	3.317154
2	0	Use	<cunk>	2.646839141845703	2.646839141845703
2	1	beam	<unk>	2.176645278930664	2.1766453
2	2	search	<unk>	2.8713135719299316	2.8713136
2	3	to	to	4.214972972869873	4.214973
2	4	create	create	8.396211624145508	8.396212
2	5	trees	<unks>	3.7545909881591797	3.754591
2	6	from	from	4.275304794311523	4.275305
2	7	a	a	4.697607040405273	4.697607
2	8	batch	<unk>	1.4647178649902344	1.4647179
2	9	of	of	2.6109657287597656	2.6109657
2	10	sentences	<unks>	3.4371261596679688	3.4371262
2	11	.	.	2.2280845642089844	2.2280846
3	0	Is	Is	7.634457111358643	7.634457111358643
3	1	this	this	5.728921413421631	5.7289214
3	2	the	the	4.546930313110352	4.5469303
3	3	place	place	7.419857025146484	7.419857
3	4	with	with	6.728359222412109	6.728359
3	5	the	the	2.7809295654296875	2.7809296
3	6	free	<unk>	1.6179656982421875	1.6179657
3	7	peptobismal	<unkal>	7.4892730712890625	7.489273
3	8	?	?	6.080802917480469	6.080803
4	0	I	I	2.5349535942077637	2.5349535942077637
4	1	saw	saw	5.4069671630859375	5.406967
4	2	my	my	4.6682515144348145	4.6682515
4	3	friend	<unk>	1.5997705459594727	1.5997705
4	4	Jenny	<cunk>	3.78939151763916	3.7893915
4	5	at	at	5.638078689575195	5.6380787
4	6	the	the	2.1698951721191406	2.1698952
4	7	park	<unk>	2.182525634765625	2.1825256
4	8	.	.	2.4938106536865234	2.4938107
5	0	I	I	2.5349535942077637	2.5349535942077637
5	1	really	really	5.263173580169678	5.2631736
5	2	enjoy	<unk>	1.4859294891357422	1.4859295
5	3	this	this	5.2410383224487305	5.2410383
5	4	new	new	7.5524444580078125	7.5524445
5	5	game	game	7.289943695068359	7.2899437
5	6	I	I	4.58076286315918	4.580763
5	7	found	found	7.915042877197266	7.915043
5	8	.	.	3.7329254150390625	3.7329254
6	0	I	I	2.5349535942077637	2.5349535942077637
6	1	really	really	5.263173580169678	5.2631736
6	2	enjoy	<unk>	1.4859294891357422	1.4859295
6	3	this	this	5.2410383224487305	5.2410383
6	4	new	new	7.5524444580078125	7.5524445
6	5	game	game	7.289943695068359	7.2899437
6	6	that	that	5.24586296081543	5.245863
6	7	I	I	2.605121612548828	2.6051216
6	8	found	found	8.016067504882812	8.0160675
6	9	.	.	4.0458526611328125	4.0458527
7	0	The	The	2.7903804779052734	2.7903804779052734
7	1	man	man	9.131468772888184	9.131469
7	2	went	went	7.248465538024902	7.2484655
7	3	to	to	3.695249557495117	3.6952496
7	4	the	the	3.791128158569336	3.7911282
7	5	park	<unk>	1.9306316375732422	1.9306316
7	6	.	.	3.506559371948242	3.5065594
8	0	The	The	2.7903804779052734	2.7903804779052734
8	1	woman	woman	7.668633460998535	7.6686335
8	2	went	went	7.797965049743652	7.797965
8	3	to	to	4.289106369018555	4.2891064
8	4	the	the	4.1170196533203125	4.1170197
8	5	park	<unk>	2.03302001953125	2.03302
8	6	.	.	3.7150650024414062	3.715065
9	0	I	I	2.5349538326263428	2.5349538326263428
9	1	ve	<unk>	2.036821126937866	2.0368211
9	2	gotten	gotten	10.48306655883789	10.483067
9	3	the	the	3.880216598510742	3.8802166
9	4	surprisals	<unks>	3.5410022735595703	3.5410023
9	5	for	for	4.230634689331055	4.2306347
9	6	the	the	2.463115692138672	2.4631157
9	7	fifth	<unk>	1.7586860656738281	1.7586861
9	8	word	<unk>	2.317718505859375	2.3177185
9	9	in	in	3.708881378173828	3.7088814
9	10	each	each	7.662708282470703	7.6627083
9	11	wh-style	<unk->	7.354465484619141	7.3544655
9	12	question	question	10.437618255615234	10.437618
9	13	from	from	5.375221252441406	5.3752213
9	14	the	the	2.3473892211914062	2.3473892
9	15	Gulordava	<cunk>	2.8117599487304688	2.81176
9	16	model	<unk>	3.0840988159179688	3.0840988
9	17	.	.	1.859283447265625	1.8592834
10	0	When	When	9.348791122436523	9.348791122436523
10	1	did	did	7.692779541015625	7.6927795
10	2	the	the	3.483663558959961	3.4836636
10	3	clown	<unk>	1.8442935943603516	1.8442936
10	4	pop	<unk>	2.1797409057617188	2.179741
10	5	the	the	3.802572250366211	3.8025723
10	6	balloon	<unk>	1.5494346618652344	1.5494347
10	7	?	?	6.0333404541015625	6.0333405
11	0	I	I	2.534947395324707	2.534947395324707
11	1	’ve	<unk>	2.03599214553833	2.0359921
11	2	got	got	5.672508716583252	5.6725087
11	3	these	these	5.403079986572266	5.40308
11	4	in	in	5.290554046630859	5.290554
11	5	a	a	4.162193298339844	4.1621933
11	6	Google	<cunk>	5.00752067565918	5.0075207
11	7	Sheet	<cunk>	2.5234031677246094	2.5234032
11	8	at	at	5.7612457275390625	5.7612457
11	9	the	the	2.810894012451172	2.810894
11	10	moment	<unk>	2.4258804321289062	2.4258804
11	11	,	,	1.5965919494628906	1.596592
11	12	but	but	4.387172698974609	4.3871727
11	13	I	I	3.4088172912597656	3.4088173
